Intensive_Care_Unit_III_Cardiac_Surgery|n_sim:10000|tl_rate:0	Intensive_Care_Unit_I_Inpatients|n_sim:10000|tl_rate:0	Intensive_Care_Unit_c/o_Infectious_Diseases|n_sim:10000|tl_rate:0	ICU_cardiac/ICU_Inpatients/ICU_infectious_disease(merged)|n_sim:10000|tl_rate:0	Every_ward|n_sim:10000|tl_rate:0
50.0	20.0	0.0	8.3	16.0
20.0	10.0	0.0	33.3	16.0
40.0	20.0	20.0	16.7	20.0
0.0	30.0	0.0	20.8	20.0
40.0	0.0	20.0	12.5	8.0
30.0	30.0	0.0	12.5	24.0
30.0	10.0	20.0	12.5	12.0
50.0	10.0	20.0	8.3	20.0
20.0	10.0	0.0	12.5	28.0
40.0	20.0	20.0	12.5	16.0
30.0	20.0	20.0	20.8	16.0
30.0	10.0	0.0	16.7	16.0
40.0	20.0	20.0	12.5	16.0
40.0	10.0	0.0	12.5	20.0
20.0	0.0	0.0	12.5	12.0
40.0	10.0	0.0	12.5	24.0
50.0	10.0	20.0	12.5	0.0
20.0	20.0	0.0	25.0	16.0
50.0	30.0	40.0	20.8	28.0
30.0	10.0	0.0	16.7	24.0
50.0	20.0	20.0	8.3	20.0
10.0	20.0	0.0	16.7	8.0
50.0	0.0	20.0	4.2	20.0
50.0	10.0	20.0	12.5	28.0
40.0	10.0	0.0	33.3	20.0
40.0	30.0	0.0	29.2	24.0
40.0	10.0	0.0	25.0	16.0
40.0	10.0	20.0	25.0	12.0
40.0	50.0	20.0	16.7	4.0
40.0	20.0	0.0	8.3	24.0
40.0	10.0	0.0	8.3	16.0
30.0	20.0	0.0	29.2	16.0
30.0	40.0	0.0	12.5	12.0
30.0	10.0	20.0	16.7	16.0
40.0	10.0	0.0	20.8	20.0
20.0	10.0	0.0	8.3	12.0
40.0	20.0	20.0	12.5	24.0
70.0	0.0	20.0	16.7	20.0
30.0	10.0	20.0	16.7	12.0
60.0	10.0	20.0	20.8	16.0
30.0	10.0	20.0	25.0	24.0
40.0	20.0	40.0	12.5	4.0
50.0	10.0	0.0	25.0	16.0
30.0	30.0	0.0	12.5	28.0
40.0	10.0	40.0	16.7	24.0
50.0	20.0	0.0	33.3	24.0
40.0	0.0	0.0	12.5	20.0
10.0	20.0	0.0	12.5	24.0
30.0	10.0	0.0	12.5	8.0
50.0	0.0	0.0	16.7	24.0
40.0	10.0	0.0	8.3	16.0
50.0	0.0	20.0	20.8	8.0
10.0	40.0	0.0	16.7	8.0
50.0	30.0	0.0	12.5	24.0
40.0	30.0	20.0	12.5	16.0
50.0	0.0	0.0	20.8	12.0
30.0	30.0	40.0	8.3	20.0
10.0	40.0	0.0	20.8	20.0
40.0	20.0	20.0	12.5	8.0
30.0	0.0	0.0	25.0	16.0
30.0	20.0	20.0	8.3	20.0
30.0	20.0	20.0	25.0	20.0
50.0	20.0	0.0	16.7	12.0
20.0	30.0	0.0	20.8	8.0
